title,description,url
Apache Hive (New),,https://www.shl.com/products/product-catalog/view/apache-hive-new/
Enterprise Leadership Report 1.0,,https://www.shl.com/products/product-catalog/view/enterprise-leadership-report/
Bank Administrative Assistant - Short Form,,https://www.shl.com/products/product-catalog/view/bank-administrative-assistant-short-form/
Managerial Scenarios Candidate Report,,https://www.shl.com/products/product-catalog/view/managerial-scenarios-candidate-report/
Selenium (New),,https://www.shl.com/products/product-catalog/view/selenium-new/
Verify G+ - Ability Test Report,,https://www.shl.com/products/product-catalog/view/verify-g-ability-test-report/
OPQ Premium Plus Report 2.0,,https://www.shl.com/products/product-catalog/view/opq-premium-plus-report-2-0/
Data Warehousing Concepts,,https://www.shl.com/products/product-catalog/view/data-warehousing-concepts/
UiPath RPA Development (New),,https://www.shl.com/products/product-catalog/view/uipath-rpa-development-new/
ASP .NET with C# (New),,https://www.shl.com/products/product-catalog/view/asp-net-with-c-new/
Cardiology and Diabetes Management (New),,https://www.shl.com/products/product-catalog/view/cardiology-and-diabetes-management-new/
Networking and Implementation (New),,https://www.shl.com/products/product-catalog/view/networking-and-implementation-new/
Financial and Banking Services (New),,https://www.shl.com/products/product-catalog/view/financial-and-banking-services-new/
OPQ User and Managers Report,,https://www.shl.com/products/product-catalog/view/opq-user-and-managers-report/
Geoinformatics Engineering (New),,https://www.shl.com/products/product-catalog/view/geoinformatics-engineering-new/
SAP BW (Business Warehouse) (New),,https://www.shl.com/products/product-catalog/view/sap-bw-business-warehouse-new/
Informatica (Architecture) (New),,https://www.shl.com/products/product-catalog/view/informatica-architecture-new/
Executive Scenarios,,https://www.shl.com/products/product-catalog/view/executive-scenarios/
Verify - Working with Information,,https://www.shl.com/products/product-catalog/view/verify-working-with-information/
SVAR - Spoken English (US) (New),,https://www.shl.com/products/product-catalog/view/svar-spoken-english-us-new/
Computer Science (New),,https://www.shl.com/products/product-catalog/view/computer-science-new/
OPQ Premium Plus Report,,https://www.shl.com/products/product-catalog/view/opq-premium-plus-report/
OPQ Team Types & Leadership Styles Profile,,https://www.shl.com/products/product-catalog/view/opq-team-types-and-leadership-styles-profile/
Microsoft Windows Server 2012 Administration,,https://www.shl.com/products/product-catalog/view/microsoft-windows-server-2012-administration/
Electronics and Embedded Systems Engineering (New),,https://www.shl.com/products/product-catalog/view/electronics-and-embedded-systems-engineering-new/
Microsoft Excel 365 (New),,https://www.shl.com/products/product-catalog/view/microsoft-excel-365-new/
.NET MVC (New),,https://www.shl.com/products/product-catalog/view/net-mvc-new/
COBOL Programming (New),,https://www.shl.com/products/product-catalog/view/cobol-programming-new/
Micro Focus Unified Functional Testing (New),,https://www.shl.com/products/product-catalog/view/micro-focus-unified-functional-testing-new/
Smart Interview Live,,https://www.shl.com/products/product-catalog/view/smart-interview-live/
Training Development,,https://www.shl.com/products/product-catalog/view/training-development/
OPQ Universal Competency Report 1.0,,https://www.shl.com/products/product-catalog/view/opq-universal-competency-report/
Contact Center Call Simulation (New),,https://www.shl.com/products/product-catalog/view/contact-center-call-simulation-new/
Sales Transformation Report 1.0 - Sales Manager,,https://www.shl.com/products/product-catalog/view/sales-transformation-report-sales-manager/
Manufacturing & Industrial - Vigilance Focus 8.0,,https://www.shl.com/products/product-catalog/view/vigilance-focus-8-0/
PJM Development Report,,https://www.shl.com/products/product-catalog/view/pjm-development-report/
Petrochemical Engineering (New),,https://www.shl.com/products/product-catalog/view/petrochemical-engineering-new/
Java Web Services (New),,https://www.shl.com/products/product-catalog/view/java-web-services-new/
Apache Spark (New),,https://www.shl.com/products/product-catalog/view/apache-spark-new/
MS Office Basic Computer Literacy (New),,https://www.shl.com/products/product-catalog/view/ms-office-basic-computer-literacy-new/
ExpressJS (New),,https://www.shl.com/products/product-catalog/view/expressjs-new/
MFS 360 Enterprise Leadership Report,,https://www.shl.com/products/product-catalog/view/mfs-360-enterprise-leadership-report/
Workplace Administration Skills (New),,https://www.shl.com/products/product-catalog/view/workplace-administration-skills-new/
Core Java (Advanced Level) (New),,https://www.shl.com/products/product-catalog/view/core-java-advanced-level-new/
.NET WPF (New),,https://www.shl.com/products/product-catalog/view/net-wpf-new/
English Comprehension (New),,https://www.shl.com/products/product-catalog/view/english-comprehension-new/
RemoteWorkQ Manager Report,,https://www.shl.com/products/product-catalog/view/remoteworkq-manager-report/
.NET Framework 4.5,,https://www.shl.com/products/product-catalog/view/net-framework-4-5/
Following Instructions v1 - UK (R1),,https://www.shl.com/products/product-catalog/view/following-instructions-v1-uk-r1/
Ruby (New),,https://www.shl.com/products/product-catalog/view/ruby-new/
Cashier Solution,,https://www.shl.com/products/product-catalog/view/cashier-solution/
Sales & Service Phone Solution,,https://www.shl.com/products/product-catalog/view/sales-and-service-phone-solution/
SHL Verify Interactive – Deductive Reasoning,,https://www.shl.com/products/product-catalog/view/shl-verify-interactive-deductive-reasoning/
Time Management (U.S.),,https://www.shl.com/products/product-catalog/view/time-management-u-s/
Econometrics (New),,https://www.shl.com/products/product-catalog/view/econometrics-new/
JavaScript (New),,https://www.shl.com/products/product-catalog/view/javascript-new/
Graduate Scenarios Profile Report,,https://www.shl.com/products/product-catalog/view/graduate-scenarios-profile-report/
Agile Software Development,,https://www.shl.com/products/product-catalog/view/agile-software-development/
Microsoft Excel 365 - Essentials (New),,https://www.shl.com/products/product-catalog/view/microsoft-excel-365-essentials-new/
Automata Pro (New),,https://www.shl.com/products/product-catalog/view/automata-pro-new/
Data Science (New),,https://www.shl.com/products/product-catalog/view/data-science-new/
"Bookkeeping, Accounting, Auditing Clerk Short Form",,https://www.shl.com/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form/
Assessment and Development Center Exercises,,https://www.shl.com/products/product-catalog/view/assessment-and-development-center-exercises/
